Name,Stocknumber,SMSY
Harrison,0,59255
Stikine,1,17800
Taku,2,31678
Unuk,3,4090
Chickamin,4,2246
Keta,5,1039
Blossom,6,926
KSR,7,188
Andrew Cr,8,707
Siuslaw,9,15161
Situk,10,1014
Siletz,11,2997
Nehalem,12,7327
Lewis,13,6050
Klukshu,14,909
Kitsumkalum,15,8621
Columbia Sp,16,49150
Salcha,17,3939
Chena,18,3621
Chehalis,19,11735
Humptulips,20,3475
Queets,21,3687
Skagit,22,12842
Cowichan,23,6514
Quillayute,24,4612
