Name,WA
Andrew Cr,126
Blossom,176
Chena,4515
Chickamin,1696
Keta,192
KSR,93
Kitsumkalum,2255
Klukshu,260
Salcha,5620
Stikine,15337
Taku,15539
Columbia Sp,114434
Unuk,3885
Chehalis,4390
Cowichan,1227
Harrison,7611
Humptulips,635
Lewis,816
Nehalem,1728
Queets,1164
Quillayute,1313
Siletz,523
Situk,176
Siuslaw,2010
Skagit,4198
