23 July (predicting logR),,,,,,,,,,24 July (predicting logR/S),,,,,,,,,,Get same answers to 3 decimal points!,
,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,Check Estimate,Check SE
38,-0.656536063,0.15075562,logSigma,1,Stikine,FALSE,-0.657,0.151,,38,-0.656537134,0.150755458,logSigma,1,Stikine,FALSE,-0.657,0.151,,,
39,-0.63817185,0.162221686,logSigma,2,Taku,FALSE,-0.638,0.162,,39,-0.638173331,0.162221446,logSigma,2,Taku,FALSE,-0.638,0.162,,,
40,-0.773669187,0.150755629,logSigma,3,Unuk,FALSE,-0.774,0.151,,40,-0.773670166,0.150755481,logSigma,3,Unuk,FALSE,-0.774,0.151,,,
41,-0.683472155,0.154303549,logSigma,7,KSR,FALSE,-0.683,0.154,,41,-0.683474603,0.154303172,logSigma,7,KSR,FALSE,-0.683,0.154,,,
42,-0.77602403,0.144337556,logSigma,8,Andrew Cr,FALSE,-0.776,0.144,,42,-0.776025315,0.144337371,logSigma,8,Andrew Cr,FALSE,-0.776,0.144,,,
43,-0.470923956,0.136082842,logSigma,9,Siuslaw,FALSE,-0.471,0.136,,43,-0.470923745,0.136082871,logSigma,9,Siuslaw,FALSE,-0.471,0.136,,,
44,-0.878907171,0.141421303,logSigma,12,Niehalem,FALSE,-0.879,0.141,,44,-0.878905235,0.141421577,logSigma,12,Niehalem,FALSE,-0.879,0.141,,,
45,-0.528958934,0.133630583,logSigma,13,Lewis,FALSE,-0.529,0.134,,45,-0.528958862,0.133630592,logSigma,13,Lewis,FALSE,-0.529,0.134,,,
46,-1.007129456,0.176776484,logSigma,14,Klukshu,FALSE,-1.007,0.177,,46,-1.007126604,0.176776989,logSigma,14,Klukshu,FALSE,-1.007,0.177,,,
47,-0.812675634,0.188981916,logSigma,15,Kitsumkalem,FALSE,-0.813,0.189,,47,-0.812673115,0.188982392,logSigma,15,Kitsumkalem,FALSE,-0.813,0.189,,,
48,-0.662217375,0.235701829,logSigma,17,Salcha,FALSE,-0.662,0.236,,48,-0.662217473,0.235701806,logSigma,17,Salcha,FALSE,-0.662,0.236,,,
49,-0.420823669,0.223606448,logSigma,18,Chena,FALSE,-0.421,0.224,,49,-0.420824917,0.223606169,logSigma,18,Chena,FALSE,-0.421,0.224,,,
