"","Estimate","Stock","LL","UL","Param"
"targetlnSMSY_ocean",335,"Artlish",167,672,"SMSY"
"targetlnSMSY_ocean.1",528,"Bedwell/Ursus",274,1018,"SMSY"
"targetlnSMSY_ocean.2",369,"Burman",185,734,"SMSY"
"targetlnSMSY_ocean.3",259,"Cayeghle",126,533,"SMSY"
"targetlnSMSY_ocean.4",101,"Conuma",44,230,"SMSY"
"targetlnSMSY_ocean.5",203,"Cypre",96,429,"SMSY"
"targetlnSMSY_ocean.6",4784,"Gold",2806,8154,"SMSY"
"targetlnSMSY_ocean.7",535,"Kaouk",278,1029,"SMSY"
"targetlnSMSY_ocean.8",582,"Leiner",305,1113,"SMSY"
"targetlnSMSY_ocean.9",902,"Marble",488,1665,"SMSY"
"targetlnSMSY_ocean.10",1332,"Megin",741,2395,"SMSY"
"targetlnSMSY_ocean.11",617,"Moyeha",325,1174,"SMSY"
"targetlnSMSY_ocean.12",218,"Nahmint",104,456,"SMSY"
"targetlnSMSY_ocean.13",1953,"Nitinat",1110,3436,"SMSY"
"targetlnSMSY_ocean.14",1804,"San Juan",1021,3187,"SMSY"
"targetlnSMSY_ocean.15",446,"Sarita",228,873,"SMSY"
"targetlnSMSY_ocean.16",5932,"Somass",3491,10080,"SMSY"
"targetlnSMSY_ocean.17",407,"Tahsis",206,802,"SMSY"
"targetlnSMSY_ocean.18",926,"Tahsish",503,1707,"SMSY"
"targetlnSMSY_ocean.19",62,"Tranquil",26,149,"SMSY"
"targetlnSMSY_ocean.20",1047,"Zeballos",573,1913,"SMSY"
"targetlnSMSY_ocean.21",218,"Barkley",104,456,"SMSY"
"targetlnSMSY_ocean.22",2536,"Clayoquot",1459,4407,"SMSY"
"targetlnSMSY_ocean.23",1838,"Kyuquot",1041,3243,"SMSY"
"targetlnSMSY_ocean.24",407,"Nootka/Esperanza",206,802,"SMSY"
"targetlnSMSY_ocean.25",1175,"Quatsino",648,2129,"SMSY"
"targetlnSMSY_ocean.26",2269,"WCVI Nootka & Kyuquot",1299,3963,"SMSY"
"targetlnSMSY_ocean.27",1175,"WCVI North",648,2129,"SMSY"
"targetlnSMSY_ocean.28",2771,"WCVI South",1600,4799,"SMSY"
"targetlnSREP_ocean",975,"Artlish",467,2036,"SREP"
"targetlnSREP_ocean.1",1534,"Bedwell/Ursus",768,3066,"SREP"
"targetlnSREP_ocean.2",1074,"Burman",520,2220,"SREP"
"targetlnSREP_ocean.3",756,"Cayeghle",353,1620,"SREP"
"targetlnSREP_ocean.4",298,"Conuma",125,708,"SREP"
"targetlnSREP_ocean.5",595,"Cypre",271,1308,"SREP"
"targetlnSREP_ocean.6",13607,"Gold",7750,23892,"SREP"
"targetlnSREP_ocean.7",1552,"Kaouk",777,3099,"SREP"
"targetlnSREP_ocean.8",1689,"Leiner",852,3346,"SREP"
"targetlnSREP_ocean.9",2604,"Marble",1363,4976,"SREP"
"targetlnSREP_ocean.10",3834,"Megin",2064,7123,"SREP"
"targetlnSREP_ocean.11",1790,"Moyeha",908,3528,"SREP"
"targetlnSREP_ocean.12",637,"Nahmint",292,1390,"SREP"
"targetlnSREP_ocean.13",5601,"Nitinat",3085,10169,"SREP"
"targetlnSREP_ocean.14",5177,"San Juan",2839,9441,"SREP"
"targetlnSREP_ocean.15",1298,"Sarita",639,2634,"SREP"
"targetlnSREP_ocean.16",16840,"Somass",9623,29470,"SREP"
"targetlnSREP_ocean.17",1184,"Tahsis",578,2424,"SREP"
"targetlnSREP_ocean.18",2675,"Tahsish",1403,5100,"SREP"
"targetlnSREP_ocean.19",183,"Tranquil",73,462,"SREP"
"targetlnSREP_ocean.20",3020,"Zeballos",1598,5705,"SREP"
"targetlnSREP_ocean.21",637,"Barkley",292,1390,"SREP"
"targetlnSREP_ocean.22",7255,"Clayoquot",4048,13004,"SREP"
"targetlnSREP_ocean.23",5273,"Kyuquot",2895,9606,"SREP"
"targetlnSREP_ocean.24",1184,"Nootka/Esperanza",578,2424,"SREP"
"targetlnSREP_ocean.25",3384,"Quatsino",1806,6342,"SREP"
"targetlnSREP_ocean.26",6498,"WCVI Nootka & Kyuquot",3607,11708,"SREP"
"targetlnSREP_ocean.27",3384,"WCVI North",1806,6342,"SREP"
"targetlnSREP_ocean.28",7922,"WCVI South",4437,14145,"SREP"
